page	part_number	quantity	description
198	261	6	Crank-case oil-filler cover hinge escutcheon pin (No. 14 by ⅜ inch).
198	261	4	Crank-case oil-filler cover lock escutcheon pin (No. 14 by ⅜ inch).
198	8166	2	Crank-case oil-filler strainer (upper assembly).
198	8164	2	Crank-case oil-filler strainer (upper ring).
198	8165	2	Crank-case oil-filler strainer (upper screen).
198	8523	2	Crank-case oil-filler strainer (lower assembly).
198	8522	2	Crank-case oil-filler strainer (lower ring).
198	8521	2	Crank-case oil-filler strainer (lower screen).
198	8158	2	Crank-case oil-filler gasket.
198	132	4	Crank-case oil-filler stud ((¼ inch—28 by 1 7/16 inches, standard) (7/16 inch / between nut and surface).
198	111	4	Crank-case oil-filler stud washer (¼ inch.).
198	101	4	Crank-case oil-filler stud nut (¼ inch—28 thd., standard).
198	106	4	Crank-case oil-filler stud cotter (1/16 by ½ inch.).
198	12237	1	Crank-case oil-retaining washer front end.
198	8206	1	Crank-case (rear end) cover.
198	8205	1	Crank-case (rear end) cover gasket.
198	245	6	Crank-case (rear end) cover screw (⅜ inch—24 by 1 inch).
198	8365	1	Crank-case breather.
198	8366	1	Crank-case breather screen.
198	8172	1	Crank-case breather gasket (2-bolt gasket 11/16-inch hole).
198	131	2	Crank-case breather stud (¼ inch—28 by 1¼ inches, standard) (¼ inch / between nut and surface).
198	111	2	Crank-case breather stud washer (¼ inch).
198	101	2	Crank-case breather stud nut (¼ inch—28 thd., standard).
198	106	2	Crank-case breather stud cotter (1/16 inch by ½ inch).
198	13148	1	Crank-shaft bearing (lower half, long).
198	13418	1	Crank-shaft bearing (upper half, long).
198	13459	6	Crank-shaft bearing (lower half, short).
198	13435	6	Crank-shaft bearing (upper half, short).
198	8390	1	Propeller hub thrust bearing oil cup (brass).
198	116	50	Crank-case, upper to lower half bolt (small) (¼ inch—28 by 15/16 inch) (½ / inch between head and nut).
198	111	100	Crank case, upper to lower half bolt, small washer (¼ inch).
198	101	50	Crank case, upper to lower half bolt, small nut (¼ inch—28 thd., standard).
198	106	50	Crank case, upper to lower half bolt, small cotter (1/16 by ½ inch).
198	187	2	Crank case, upper to lower half bolt, short (⅜ inch—24 by 4⅜ inches, special) / (3⅞ inches between head and nut).
198	165	2	Crank case, upper to lower half bolt, long (⅜ inch—24 by 5⅛ inches, special) / (4⅝ inches between head and nut).
198	113	8	Crank case, upper to lower half bolt washer (⅜ inch).
198	103	4	Crank case, upper to lower half bolt nut (⅜ inch—24 thd., standard).
198	108	4	Crank case, upper to lower half bolt, cotter (3/32 inch by ⅝ inch).
198	151	100	Cylinder to crank-case stud (⅜ inch—24 by 1⅞ inches, special) (¼ inch be- / tween nut and surface).
198	108	100	Cylinder to crank-case stud cotter (3/32 inch by ⅝ inch).
198	103	72	Cylinder to crank-case stud nut (⅜ inch—24, standard).
198	108	4	Water pump to crank-case stud cotter (3/32 inch by ⅝ inch).
198	101	3	Generator to crank-case stud nut.
199	103	4	Water pump to crank-case stud nut (⅜ inch—24, standard).
199	113	4	Water pump to crank-case stud washer (⅜ inch).
199	111	10	Oil pump to crank-case stud washer (¼ inch).
199	8348	1	Oil-pump body (lower half) gasket.
199	106	10	Oil pump to crank-case stud cotter (1/16 inch by ½ inch).
199	8389	1	Generator gasket.
199	177	3	Generator to crank-case stud lock wire.
199	101	8	Cam-shaft driving shaft, lower bearing connecting-stud nut (¼ inch—28, / standard).
199	106	8	Cam-shaft driving shaft, lower bearing connecting-stud cotter (1/16 inch by ½ / inch).
199	12346	4	Cylinder to crank-case gasket.
199	8234	28	Cylinder to crank-case stud nut.
199	12353	1	Engine name plate.
199	197	4	Engine name-plate screw.
199	13157	1	Engine name plate (Navy).
199	101	10	Oil pump to crank-case stud nut.
199	13443		Crank-shaft bearing dowel (upper).
199	12514	1	Crank shaft, thrust bearing and gear assembly.
199	12546	1	Crank shaft.
199	8138	1	Crank-shaft propeller end plug.
199	13142	6	Crank-shaft oil-hole plug (small).
199	8067	1	Crank-shaft gear.
199	8502	x	Crank-shaft gear shim.
199	198	6	Crank-shaft gear bolt (5/16 inch—24 by ⅞ inch, special) (3/32 inch between head / and nut).
199	102	6	Crank-shaft gear bolt (5/16 inch—24, standard).
199	107	6	Crank-shaft gear-bolt cotter nut (1/16 inch by ⅝ inch).
199	13481	1	Crank-shaft gear end plug.
199	13482	1	Crank-shaft gear end plug gasket.
199	13483	11	Crank-shaft main bearing plug.
199	13484	12	Crank-pin plug.
199	13485	12	Gasket (1¼ inches, annular).
199	13486	11	Gasket (1⅜ inches, annular).
199	13487	1	Crank-shaft gear end plug stud.
199	13488	6	Crank-pin plug stud.
199	13489	5	Crank-shaft main bearing plug stud.
199	103	12	Crank-pin plug-stud nut.
199	157	24	Crank-shaft plug-stud gasket.
199	108	12	Crank-pin plug-stud cotter.
199	13490	12	Crank-pin plug-stud nut.
199	12048	1	Propeller hub thrust bearing assembly.
199	12252	1	Propeller hub thrust bearing sleeve (thick).
199	13442	6	Connecting-rod assembly.
199	13440	6	Connecting-rod (forked end) and bushings assembly.
199	12250	24	Connecting-rod (forked end) bolt.
199	13228	12	Connecting-rod (forked end) cap.
199	13220	24	Connecting-rod (forked end) bolt nut (5/16 inch—24 thd., standard).
199	107	24	Connecting-rod (forked end) bolt cotter (1/16 inch by ⅝ inch).
199	13460	6	Connecting-rod crank-shaft bearing (upper half).
199	13461	6	Connecting-rod crank-shaft bearing (lower half).
199	8028	12	Connecting-rod crank-shaft bearing dowel.
199	13441	6	Connecting-rod (plain end) and piston pin bushing assembly.
199	13422	12	Connecting-rod (plain end) bolt.
199	13227	6	Connecting-rod (plain end) cap.
199	13251	12	Connecting-rod (plain end) bolt nut (7/16 inch—20 thd., special).
199	109	12	Connecting-rod (plain end) bolt cotter (3/32 inch by ¾ inch).
199	8007	12	Connecting-rod piston-pin bushing.
199	8385	12	Cylinder and valves assembly.
199	8106	12	Cylinder assembly.
199	8231	12	Cylinder barrel and elbows assembly
199	8098	12	Cylinder barrel.
199	8031	12	Cylinder-elbow exhaust.
200	8032	12	Cylinder-elbow inlet.
200	8030	24	Cylinder-elbow flange.
200	8099	12	Cylinder water jacket (inlet half).
200	8359	12	Cylinder water jacket (outlet half).
200	8025	12	Valve-stem guide exhaust.
200	8026	12	Valve-stem guide inlet.
200	8126	12	Cylinder water-inlet pipe.
200	8127	12	Cylinder water-outlet pipe.
200	8021	24	Valve.
200	8253	24	Valve spring (inside).
200	8254	12	Valve-spring inlet (outside).
200	8357	12	Valve-spring exhaust (outside)
200	8090	24	Valve-spring collar (lower).
200	8023	24	Valve-spring collar (upper).
200	8524	48	Valve-spring collar key.
200	8591	24	Spark-plug assembly.
200	181	24	Spark-plug gasket (¾ inch, annular).
200	179	12	Cam-shaft housing to cylinder stud short (5/16 inch—24 by 2 7/10 inches, special) / (1 7/16 inches between nut and surface).
200	180	12	Cam-shaft housing to cylinder stud long (5/16 inch by 4⅜ inches, special) (3⅜ / inches, between nut and surface).
200	102	24	Cam-shaft housing to cylinder stud nut (5/16 inch—24 thd., standard).
200	107	24	Cam-shaft housing to cylinder stud cotter.
200	162	24	Exhaust header stud (⅜ inch—24 by 1¼ inches, special) (5/16 inch between nut / and surface).
200	163	24	Intake header stud (⅜ inch—24 by 1½ inches, special) (9/16 inch between nut / and surface.
200	103	24	Intake header stud nut.
200	108	24	Intake header stud cotter (3/32 inch by ⅝ inch).
200	167	24	Exhaust header stud nut (⅜ inch—24 thd., special).
200	112	24	Cam-shaft housing to cylinder stud washer (5/16 inch).
200	8176	12	Exhaust header gasket.
200	113	24	Exhaust header stud washer.
200	108	24	Exhaust header stud cotter (3/32 inch by ⅝ inch).
200	113	24	Intake header stud washer (⅜ inch).
200	8173	12	Intake header water inlet elbow assembly.
200	8170	12	Intake header water inlet elbow.
200	8171	12	Intake header water inlet elbow flange.
200	8539	12	Exhaust port cover DH4.
200	8538	12	Exhaust header flange DH4.
200	8152	12	Cylinder water hose (outlet), (see cooling system parts list).
200	12229	2	Distributor assembly.
200	8358	2	Distributor to cam-shaft housing gasket.
200	116	10	Distributor bolt (¼ inch—28 by 15/16 inches) (½ inch between head and nut).
200	111	20	Distributor-bolt washer (¼ inch).
200	101	10	Distributor-bolt nut (¼ inch—28 std.).
200	106	10	Distributor-bolt cotter (1/16 inch by ½ inch).
200	8333	1	Distributor-control connecting-rod, and clevis assembly.
200	8468	1	Distributor-control connecting-rod assembly.
200	8469	1	Distributor-control connecting rod.
200	8470	1	Distributor-control connecting-rod clevis (brazing) (5/16-inch clevis brazing).
200	210	2	Distributor-control connecting-rod brazing pin (2 D wire nail).
200	8472	1	Distributor-control connecting-rod end (¼-inch rod end).
200	8338	1	Distributor-control connecting-rod clevis (right hand) (¼ inch adj. clevis / (right hand) thd.).
200	8340	1	Distributor-control connecting-rod clevis—RH check nut (¼ inch, 28 thd.).
200	196	2	Distributor-control connecting-rod clevis pin (¼-inch clevis).
200	106	2	Distributor-control connecting-rod clevis pin cotter (1/16 inch by ½ inch).
200	12490	1	High-tension cable and tube assembly.
200	12282	1	High-tension cable tube.
200	12283	6	High-tension cable-tube clip.
200	12388	2	High-tension cable-tube end.
200	12387	2	High-tension cable separator.
200	8332	24	High-tension cable terminal (distributor end).
200	8397	24	High-tension cable-terminal assembly (spark plug end).
200		24	High-tension cable rubber sleeve (distributor end).
200	8417	1	Ignition battery.
200	12987	1	Positive battery terminal.
200	12988	1	Negative battery terminal.
